type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,197,08:96:d7:2d:66:28,-76,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7632852,0,338,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-2,0,-2,0,-2,0,-1,0,-1,0,-1,0,-2,0,-2,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0,-1,0,0,0,-2,0,-2,0,-1,0,-1,0,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,198,e8:df:70:82:73:f7,-62,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7687095,0,322,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,2,1,2,1,2,0,2,0,2,0,3,0,3,0,3,0,2,0,3,0,3,0,2,0,3,1,2,0,2,0,3,0,2,1,3,0,3,1,3,1,3,2,3,0,0,2,3,1,4,2,4,3,3,3,3,3,4,3,4,4,4,3,5,3,5,3,5,3,5,3,5,4,6,4,5,3,6,4,6,4,6,3,6,3,6,3,7,3,6,3,7,3,6,3,6,3,6,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,199,7c:ff:4d:ce:bc:4b,-78,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7708456,0,325,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,3,11,1,11,2,11,3,11,4,11,4,10,3,11,4,12,6,12,6,10,7,10,7,10,6,10,6,10,7,10,7,9,9,9,10,9,8,9,6,7,6,5,7,4,7,6,7,7,6,7,4,0,0,5,2,3,0,2,-2,2,-4,5,-5,7,-7,7,-7,5,-6,4,-5,4,-4,3,-4,2,-5,3,-8,4,-10,4,-10,6,-11,9,-11,7,-11,3,-10,3,-10,5,-11,5,-13,4,-13,5,-10,5,-9,4,-10,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,200,0a:96:d7:2d:66:28,-74,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7786397,0,319,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,3,-8,2,-8,1,-8,2,-8,2,-9,2,-9,1,-10,-1,-10,-2,-11,-3,-11,-4,-11,-5,-11,-6,-11,-7,-8,-7,-5,-9,-5,-10,-5,-12,-3,-13,-2,-12,-4,-11,-4,-10,-4,-11,-4,-12,-4,-11,-3,-8,0,0,-6,-9,-7,-7,-7,-7,-6,-8,-8,-8,-8,-7,-8,-6,-9,-6,-8,-6,-9,-5,-10,-4,-7,-5,-6,-6,-9,-9,-11,-12,-9,-10,-7,-9,-9,-11,-9,-10,-7,-9,-6,-11,-7,-13,-9,-13,-10,-11,-9,-9,-10,-6,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,201,e8:df:70:82:73:f7,-61,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7789494,0,322,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,-3,1,-3,2,-3,2,-2,2,-3,2,-3,2,-2,2,-2,2,-2,2,-3,2,-3,2,-2,3,-2,3,-2,3,-3,3,-2,3,-3,3,-3,3,-3,3,-3,3,-3,3,-4,3,-4,3,-4,3,-4,0,0,3,-4,2,-5,2,-5,3,-6,3,-6,3,-6,3,-7,3,-7,3,-7,3,-7,3,-8,3,-8,4,-8,3,-8,4,-8,5,-8,4,-8,5,-7,4,-8,5,-8,5,-8,5,-8,4,-8,5,-7,5,-7,5,-7,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,202,08:3a:f2:50:a2:00,-67,11,1,1,1,1,1,0,0,0,0,-92,0,1,1,7793405,0,202,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-10,-1,-10,-1,-10,-2,-11,-3,-10,-3,-10,-4,-10,-5,-10,-5,-10,-5,-11,-6,-11,-6,-11,-6,-10,-6,-10,-8,-10,-9,-9,-9,-9,-9,-9,-9,-8,-9,-8,-9,-8,-9,-9,-8,-8,-7,-8,-7,-8,-6,0,0,-8,-8,-7,-6,-7,-4,-8,-3,-7,-3,-6,-3,-7,-4,-7,-4,-7,-4,-7,-3,-7,-2,-8,-1,-8,0,-9,1,-9,1,-9,1,-9,1,-10,2,-9,2,-10,3,-10,3,-11,3,-11,3,-12,4,-13,5,-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,63,11,68,14,70,19,68,19,60,23,50,27,50,27,50,21,47,14,43,9,35,14,31,22,33,21,30,24,26,31,26,34,27,38,23,42,18,47,19,47,22,39,16,33,9,30,8,30,8,33,9,37,6,41,4,43,7,42,4,44,3,48,5,47,4,46,3,45,5,45,8,51,6,51,5,40,5,31,7,34,8,40,6,38,3,34,1,35,-4,38,-3,36,3,33,2,30,-1,30,-6,33,-9,29,-10,20,-9,21,-6,26,-6,26,-5,25,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,-18,-49,-22,-51,-27,-51,-27,-50,-28,-50,-34,-46,-36,-45,-37,-46,-42,-43,-50,-44,-56,-49,-56,-52,-54,-49,-57,-45,-61,-44,-61,-41,-60,-31,-53,-25,-45,-31,-47,-43,-52,-45,-50,-35,-44,-25,-53,-24,-66,-26,-62,-26,-56,-32,-57,-37,-45,-35,-32,-40,-33,-40,-40,-33,-35,-29,-21,-31,-21,-32,-28,-29,-21,-36,-11,-45,-10,-44,-6,-45,1,-47,6,-47,5,-45,2,-46,4,-53,8,-54,13,-50,22,-50,27,-58,28,-64,34,-66,32,-72,20,-79,22,-79,34,-76,33,-79,22,0,0]"
CSI_DATA,205,08:96:d7:2d:66:28,-75,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7837597,0,338,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-2,1,-2,1,-2,1,-1,0,-2,1,-2,1,-2,1,-2,1,-2,1,-2,1,-1,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,206,0a:96:d7:2d:66:28,-75,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7888796,0,319,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,1,7,1,7,2,7,2,9,3,11,4,12,5,10,6,8,5,8,4,9,4,9,5,9,9,10,11,9,11,6,11,3,10,3,10,4,11,6,13,6,13,5,13,6,12,6,9,6,9,0,0,7,2,9,5,8,5,7,2,8,1,10,0,11,-2,13,-3,15,-3,15,-3,14,-4,15,-2,14,0,12,-1,10,-1,12,-1,13,-3,13,-3,14,-1,14,1,12,0,11,0,13,-1,13,-3,11,-3,10,-4,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,207,e8:df:70:82:73:f7,-61,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7891893,0,322,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,2,-2,2,-2,2,-3,2,-3,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,1,-4,2,-4,2,-5,2,-4,3,-4,2,-4,3,-4,3,-4,3,-4,3,-4,3,-4,5,0,0,-4,5,-4,5,-4,6,-4,6,-4,6,-4,6,-4,7,-4,7,-4,8,-4,8,-4,8,-4,9,-4,8,-4,9,-5,9,-5,10,-5,9,-5,9,-5,9,-6,9,-6,9,-6,9,-6,9,-5,9,-6,9,-6,8,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,208,7c:ff:4d:ce:bc:4b,-75,11,0,0,0,0,0,0,0,0,0,-92,0,1,1,7913252,0,325,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,7,-5,9,-3,10,-3,11,-6,12,-6,13,-4,14,-3,13,-2,12,-3,12,-4,13,-4,13,-2,13,-1,14,-1,14,-1,13,0,14,1,13,0,10,0,8,1,8,0,8,0,7,0,4,1,4,0,4,0,0,0,2,1,3,-3,3,-3,2,-4,2,-7,2,-8,3,-7,2,-6,2,-7,3,-9,4,-8,5,-6,6,-8,5,-10,3,-13,4,-14,8,-13,10,-11,9,-11,7,-12,6,-11,8,-9,9,-9,11,-9,10,-11,7,-15,0,0,0,0,0,0,0,0,0,0]"
