type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,22019,b8:27:eb:77:69:4d,-46,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,761989783,0,30,0,128,0,"[0,0,5,13,5,12,5,11,6,9,5,10,3,10,5,9,6,9,6,9,4,10,6,7,6,9,5,9,6,10,4,9,3,9,4,10,3,10,2,10,3,10,1,10,0,9,-1,10,-3,10,-4,10,-5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,14,0,14,0,14,0,13,0,13,-1,15,-1,13,0,15,-1,16,0,15,-1,14,0,15,1,14,2,14,1,14,1,14,2,14,2,15,5,14,4,12,5,12,4,14,4,15,5,13,6,11]"
CSI_DATA,22020,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762026979,0,458,0,128,0,"[0,0,-1,-21,-1,-22,0,-21,-1,-22,2,-21,-2,-18,-1,-19,-4,-18,-1,-18,-4,-17,-4,-17,-5,-15,-5,-16,-7,-16,-6,-18,-5,-17,-4,-18,-4,-19,-3,-17,-1,-17,1,-14,-1,-15,1,-13,3,-10,3,-10,5,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,0,-5,2,-5,2,-5,2,-8,4,-7,4,-9,3,-6,7,-7,6,-10,7,-8,6,-9,3,-9,4,-10,3,-10,3,-10,2,-12,3,-13,1,-13,3,-12,0,-13,-1,-16,1,-18,-1,-19,-1,-18,-1,-19]"
CSI_DATA,22021,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,762084758,0,28,0,128,0,"[0,0,-17,-2,-18,-2,-19,-3,-20,-3,-20,-4,-19,-4,-19,-4,-18,-4,-17,-4,-15,-4,-13,-3,-12,-1,-11,0,-10,1,-10,2,-10,4,-10,5,-10,6,-11,6,-12,6,-12,5,-13,3,-12,2,-12,0,-10,0,-9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-18,1,-18,3,-17,5,-15,5,-14,5,-13,5,-12,4,-11,3,-11,1,-10,0,-11,0,-11,-2,-12,-2,-12,-2,-12,-2,-13,-3,-12,-3,-11,-4,-10,-4,-9,-5,-8,-6,-6,-8,-5,-10,-4,-12,-2,-14,-1]"
CSI_DATA,22022,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762129020,0,458,0,128,0,"[0,0,0,18,1,17,0,19,1,17,1,18,1,18,0,18,2,15,0,15,1,14,3,14,4,11,5,14,4,13,4,15,4,14,3,15,2,14,1,15,1,13,-2,13,-2,12,-3,10,-2,8,-5,8,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-2,5,-1,5,-2,5,-3,5,-3,6,-2,6,-4,8,-4,7,-5,6,-7,8,-6,8,-6,8,-5,8,-4,8,-3,10,-3,9,-3,8,0,10,-2,12,-1,12,2,13,3,14,0,14,1,15,1,17]"
CSI_DATA,22023,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762231420,0,458,0,128,0,"[0,0,-13,15,-14,16,-16,15,-13,14,-14,12,-12,14,-11,13,-11,13,-11,13,-10,12,-8,13,-8,13,-7,13,-8,12,-7,13,-9,14,-9,13,-9,14,-10,12,-10,11,-11,9,-11,7,-9,6,-8,6,-10,3,-9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,-5,3,-5,3,-4,2,-5,4,-8,4,-8,3,-9,4,-8,2,-10,2,-11,4,-11,5,-9,4,-8,4,-8,5,-10,6,-10,7,-10,9,-10,8,-9,10,-9,9,-11,10,-11,12,-11,14,-13,14,-12,16]"
CSI_DATA,22024,06:0e:3c:84:7f:69,-46,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762333945,0,458,0,128,0,"[0,0,2,19,4,18,2,19,3,18,3,18,3,16,4,15,2,17,2,14,4,15,5,14,4,14,5,14,7,14,6,14,6,14,5,17,4,15,2,15,3,15,0,13,-1,10,-1,10,-4,10,-4,8,-5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,6,-1,5,1,7,0,6,0,6,-1,6,-4,9,-3,9,-4,9,-5,9,-3,8,-1,10,0,9,0,9,-2,9,1,11,1,12,1,12,1,13,2,15,3,14,3,14,4,17,5,18]"
CSI_DATA,22025,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762436226,0,458,0,128,0,"[0,0,7,-17,7,-20,5,-18,6,-18,6,-17,5,-17,3,-16,2,-17,2,-18,2,-15,2,-16,1,-17,2,-15,0,-17,0,-16,1,-16,1,-18,2,-16,3,-16,5,-16,6,-12,7,-9,5,-9,6,-8,9,-7,8,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-6,1,-4,5,-6,2,-6,3,-5,4,-6,5,-7,5,-7,7,-7,7,-6,7,-7,7,-7,8,-6,6,-7,6,-9,5,-9,6,-8,6,-10,5,-12,5,-10,4,-13,3,-15,3,-15,4,-15,4,-17,5,-16]"
CSI_DATA,22026,a4:83:e7:3a:61:52,-34,9,0,0,0,0,0,0,0,0,0,-90,0,5,0,762500165,0,28,0,128,0,"[0,0,0,-17,1,-18,2,-19,2,-20,3,-20,3,-19,3,-19,3,-17,3,-16,3,-15,2,-13,0,-12,-1,-10,-2,-10,-4,-9,-5,-9,-7,-9,-8,-10,-8,-11,-7,-11,-7,-12,-6,-12,-4,-12,-3,-11,-1,-10,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-1,17,2,16,4,14,6,12,6,11,6,10,6,9,5,9,3,9,2,10,1,10,0,11,-1,11,-1,11,-2,11,-2,11,-2,10,-2,9,-3,8,-4,6,-4,5,-6,4,-8,3,-9,1,-11,1,-13]"
CSI_DATA,22027,18:69:d8:64:b2:a5,-57,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762538301,0,28,0,128,0,"[0,0,-9,1,-13,0,-14,3,-12,4,-10,0,-9,-4,-7,6,-12,4,-6,-4,-8,5,-7,-1,-2,3,-2,2,-5,2,4,4,-3,2,-1,8,-3,2,3,2,-1,5,-6,7,-4,2,-5,4,-7,5,-5,6,-4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,11,-5,9,-2,5,-11,6,-11,7,-9,1,-11,5,-13,6,-10,6,-10,0,-17,3,-13,4,-15,-4,-12,5,-18,-7,-13,5,-9,3,-18,3,-10,2,-18,5,-16,5,-13,8,-9,6,-18,7,-14,5,-10,4]"
CSI_DATA,22028,06:0e:3c:84:7f:69,-47,11,0,0,0,0,0,0,0,0,0,-90,0,5,0,762538619,0,458,0,128,0,"[0,0,-10,-18,-9,-18,-6,-17,-7,-18,-8,-15,-7,-14,-6,-17,-8,-15,-7,-13,-8,-15,-8,-14,-8,-12,-8,-15,-10,-13,-9,-12,-9,-14,-10,-13,-8,-14,-7,-14,-5,-13,-3,-15,-2,-13,-1,-12,0,-11,-1,-11,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-3,-6,-2,-5,-3,-6,-2,-6,-2,-9,-2,-9,-2,-9,1,-11,0,-11,0,-8,0,-11,-1,-10,-1,-10,-1,-10,-2,-12,-1,-10,-4,-10,-4,-12,-6,-12,-5,-12,-7,-13,-6,-13,-8,-14,-8,-17,-12,-16]"
