type,mac,channel,secondary channel,sig_mode,bandwith,STBC
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,30:83:98:53:81:2c,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,40:91:51:b9:5b:7c,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,08:3a:f2:50:a2:00,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,08:3a:f2:50:a2:00,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,94:3c:c6:07:a3:2c,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,94:3c:c6:07:a3:2c,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,94:3c:c6:07:a3:2c,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,1
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,1
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,1
CSI_DATA,18:69:d8:64:b2:a5,5,1,1,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,94:83:c4:13:bc:ee,5,1,1,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,18:69:d8:64:b2:a5,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,d4:54:8b:83:9c:85,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,a6:6f:82:3d:89:99,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,a4:83:e7:3a:61:52,5,1,0,0,0
CSI_DATA,f6:d1:96:09:67:00,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,06:0e:3c:84:7f:69,5,1,0,0,0
CSI_DATA,38:68:93:66:40:90,5,1,0,0,0
CSI_DATA,b8:27:eb:77:69:4d,5,1,0,0,0
